13.7763	2.80417	4.56064	2.26808	13.836	2.62479	L0	13.6955	2.65053	4.52448	2.23703	0.149009	0.115941	0.732958	0.338265
13.9844	2.88506	4.50817	2.27395	13.8302	2.73893	R0.00563162	13.9208	2.7643	4.48147	2.31134	0.147877	0.116033	0.726148	0.335157
14.2082	3	4.47883	2.33121	14.2106	2.94205	L0	14.1439	2.88179	4.43656	2.38601	0.146783	0.116073	0.719539	0.332178
14.4779	3.0459	4.60586	2.28623	14.5568	2.87021	R0.0210786	14.3646	3.00303	4.38974	2.46099	0.146252	0.115174	0.71367	0.330026
14.7066	3.16132	4.58025	2.33711	14.4616	2.90734	L0	14.583	3.12802	4.34097	2.5362	0.145885	0.114245	0.708092	0.32818
14.9052	3.4332	4.525	2.63544	14.6754	3.96041	R0.00624902	14.7989	3.25679	4.29021	2.61157	0.145294	0.1156	0.702638	0.325353
15.1297	3.56619	4.49096	2.69303	15.0261	3.5067	L0	15.0122	3.38932	4.23744	2.68703	0.144867	0.116906	0.697439	0.322585
15.3189	3.81039	4.31147	2.90405	15.3685	4.14761	R0.0120661	15.2228	3.52563	4.18263	2.76249	0.14419	0.121617	0.691803	0.320407
15.5325	3.95691	4.26833	2.9671	15.5236	3.82936	L0	15.4306	3.66572	4.12575	2.83789	0.143597	0.126247	0.686352	0.318201
15.7608	3.96027	4.28439	2.81495	15.7234	3.4105	R0.0038408	15.6355	3.80957	4.06678	2.91315	0.143319	0.126679	0.681355	0.31587
15.9731	4.10222	4.24708	2.87092	15.9774	4.00094	L0	15.8375	3.95719	4.00571	2.98817	0.1432	0.126991	0.67661	0.313701
16.1707	4.24792	4.10602	2.91161	16.3376	4.21632	R0.0201569	16.0363	4.10854	3.94251	3.0629	0.143067	0.127193	0.671614	0.311815
16.374	4.3947	4.0652	2.96832	16.3313	4.44499	L0	16.2319	4.26363	3.87716	3.13723	0.143052	0.127254	0.666836	0.310116
16.6003	4.52293	4.06643	2.9945	16.7586	4.48231	R0.00319884	16.4242	4.42242	3.80966	3.21109	0.143609	0.126891	0.662519	0.30891
16.8016	4.67379	4.02586	3.04881	16.6039	4.67344	L0	16.613	4.5849	3.74	3.28438	0.144383	0.126408	0.658483	0.307944
16.9259	4.91181	3.71366	3.18427	16.9236	5.10119	R0.0725917	16.7983	4.75103	3.66817	3.35704	0.14415	0.126981	0.653646	0.306388
17.1093	5.07224	3.66183	3.24373	16.9955	5.21099	L0	16.9799	4.92077	3.59416	3.42897	0.143946	0.127369	0.648944	0.304976
17.3025	5.12433	3.62247	3.1515	17.3421	4.64623	R0.0049513	17.1579	5.09409	3.51797	3.50008	0.143956	0.126508	0.644413	0.305643
17.4814	5.28305	3.57349	3.20693	17.2894	5.43542	L0	17.3319	5.27094	3.4396	3.57028	0.144035	0.125622	0.640056	0.306531
17.6616	5.31705	3.51075	3.08809	17.6463	4.74597	R0.0132173	17.5019	5.45128	3.35907	3.63949	0.144263	0.125746	0.635847	0.311254
17.8349	5.47254	3.46467	3.13971	17.7853	5.62476	L0	17.6679	5.63506	3.27637	3.70762	0.144599	0.126322	0.631861	0.316181
17.957	5.72717	3.2682	3.29246	17.9216	6.07151	R0.0141355	17.8297	5.82221	3.19151	3.77458	0.144379	0.125951	0.62764	0.318999
18.118	5.89286	3.21297	3.34637	18.1263	6.16985	L0	17.9872	6.01269	3.10453	3.84027	0.144206	0.125871	0.623568	0.321957
18.2397	6.20226	3.07792	3.57339	18.1245	6.79027	R0.00113801	18.1402	6.20641	3.01542	3.90462	0.143708	0.125041	0.619493	0.32208
18.3909	6.38196	3.01334	3.62801	18.2164	6.66138	L0	18.2888	6.40332	2.92421	3.96753	0.143245	0.12425	0.615541	0.322313
18.4991	6.66149	2.84441	3.79341	18.4022	7.02231	R0.001644	18.4328	6.60333	2.83093	4.0289	0.142522	0.123627	0.611585	0.321348
18.6384	6.85214	2.77085	3.84747	18.5422	6.76013	L0	18.572	6.80638	2.7356	4.08867	0.141814	0.12295	0.607715	0.320459
18.7949	7.05961	2.76759	3.92279	18.8089	7.24388	R0.00890977	18.7064	7.01237	2.63825	4.14672	0.141272	0.122293	0.604078	0.319432
18.9304	7.25664	2.69478	3.97315	19.1441	7.18344	L0	18.8359	7.22122	2.53893	4.20299	0.140789	0.1216	0.600587	0.31848
18.9717	7.49322	2.4335	4.05231	18.5479	7.4012	R0.047604	18.9604	7.43283	2.43767	4.25737	0.139934	0.12104	0.596914	0.317341
19.0903	7.69666	2.35012	4.10123	19.0138	7.8688	L0	19.0798	7.64712	2.3345	4.3098	0.139093	0.120431	0.593309	0.316253
19.2372	7.84877	2.34934	4.09311	19.3089	7.67375	R0.00234822	19.1939	7.86397	2.22949	4.36017	0.138343	0.119724	0.589912	0.315713
19.3516	8.05418	2.26917	4.13809	19.132	8.12845	L0	19.3028	8.08329	2.12266	4.40842	0.137629	0.119059	0.586647	0.315217
19.4323	8.25418	2.20039	4.18338	19.0239	8.17194	R0.0208851	19.4062	8.30497	2.01409	4.45445	0.136856	0.118492	0.583572	0.314739
19.5393	8.464	2.12011	4.22464	19.347	8.30741	L0	19.5042	8.5289	1.90381	4.49819	0.136119	0.118014	0.580672	0.314296
19.6388	8.63324	2.0084	4.20974	19.6843	8.35902	R0.00560516	19.5966	8.75494	1.7919	4.53956	0.135418	0.118056	0.577824	0.314477
19.7361	8.8443	1.92567	4.24822	20.0039	8.8906	L0	19.6835	8.983	1.67841	4.57848	0.13477	0.118308	0.575166	0.314659
19.7693	9.14709	1.70419	4.36653	19.6061	9.48659	R0.00596695	19.7645	9.21294	1.56341	4.61488	0.134021	0.117854	0.572155	0.313999
19.8512	9.36584	1.61173	4.4015	20.1574	9.45949	L0	19.8398	9.44463	1.44697	4.64869	0.133287	0.117495	0.569264	0.313342
19.8545	9.64886	1.35315	4.48076	19.6163	9.76606	R0.0174629	19.9093	9.67795	1.32916	4.67984	0.132684	0.116894	0.566167	0.312325
